,FL_Fz,FR_Fz,RL_Fz,RR_Fz,FL_SA,FR_SA,RL_SA,RR_SA,FL gamma,FR gamma,RL gamma,RR gamma,Velocity
249,233.1566241848039,196.13569674211232,903.7596404096306,872.0395031384826,0.15720198565528706,0.1237657193442975,-0.023606037526192985,-0.01766722046110508,0.0031155235235487775,-0.01407105051480327,0.004827630440085199,-0.005367799334236395,0.09992023587274845
250,229.54593810243864,206.71507416450117,897.4121512074695,877.8331890834887,0.1794427429788997,0.14218099637321338,-0.023520725131246225,-0.017579680268364914,0.002658767501547076,-0.014704081730771772,0.0049133148788454385,-0.005251979659219728,0.5258271166327478
251,227.8688891762793,205.5150095733345,894.7576368356087,875.5859730382447,0.20168486111840622,0.1605618212235019,-0.02348080568968538,-0.017613862838247268,0.0020061701624467278,-0.015343832348501464,0.004862591510441352,-0.005194571095826435,0.040153698674919726
252,-110.17965743632647,-197.98439409048763,804.656266797693,729.4254337411178,-0.22421983395598516,-0.2680902248556114,-0.04281034796923003,-0.040983385632784544,0.007407880326989017,0.0040033810361903436,0.0021804093874950464,-0.0034612996525294703,0.30184817420783877
253,-44.16722563077485,-113.85605531560645,786.0088472905328,726.304533173078,-0.20606484836094918,-0.24554786569855103,-0.04257770475142725,-0.040993199561010225,0.008296967339450534,0.0021613893533484804,0.0020039410516435414,-0.0030244986411346567,0.2760513189201804
254,-28.872489897318133,-127.5455265040639,789.6463024593986,705.1251757533697,-0.18770133341873022,-0.2233571015537056,-0.04261476190068061,-0.04131483817731845,0.007415731483229017,0.0013333615243050828,0.0016191457990087925,-0.003058122834160322,0.1855242914565602
255,41.70113490298991,-87.74789622265973,808.8260479294272,697.9718721030989,-0.16953024795710736,-0.20096674452533503,-0.04291680452209244,-0.04139170466810459,0.007574727165586855,-0.0005320632556116509,0.001498982303291284,-0.0033796026374004026,0.5758941542035166
256,63.89658815698954,-96.42278638964865,804.0796155216772,666.799200335705,-0.15118328911779777,-0.1787617414570531,-0.04282871633920718,-0.04186400885571186,0.006801566029801188,-0.0014869635225819647,0.0008957266323645355,-0.0032253830911630438,0.1269226285836416
257,46.78543493514189,-97.79030718835963,809.2155863518713,685.4053417653586,-0.13276744247420713,-0.15652017293509987,-0.042911717266459856,-0.041584578106729775,0.006057559245491468,-0.0017858408746922304,0.0012673768803883123,-0.00336731447918044,0.503731545666574
258,-34.93996661377582,-234.70938603485274,826.0815982177512,654.9619375812301,-0.11407099183030386,-0.13476340749989899,-0.04307513362604051,-0.04210542559230307,0.0028474680880491996,-0.0006894013509045529,0.0008398906246178822,-0.0037379826606544824,0.8201685810036086
