index,RL RPM,RL Potential Fx [N],RR RPM,RR Potential Fx  [N],,Differential RPM,RL Torque Potential [Nm],RR Torque Potential [Nm],Combined Axle Torque [Nm],,,,,,,,tire radius [m]
275.00,1227.64,2256.02,1227.64,1404.83,,1227.640641,458.4223249,285.4611207,743.8834456,,,,,,,,
208.00,1228.56,1451.69,1228.56,2314.11,,1228.558533,294.9829296,470.2277769,765.2107066,,,,,,,,
26.00,1228.94,888.82,1228.94,1210.29,,1228.937963,180.6081552,245.9314646,426.5396198,,,,,,,,
278.00,1229.44,2268.36,1229.44,1426.23,,1229.44399,460.9304036,289.8094423,750.7398459,,,,,,,,
276.00,1229.84,2260.57,1229.84,1409.68,,1229.843335,459.3482711,286.4477846,745.7960557,,,,,,,,
277.00,1230.78,2264.90,1230.78,1416.48,,1230.775861,460.2272858,287.8289854,748.0562712,,,,,,,,
209.00,1231.09,1440.49,1231.09,2311.26,,1231.09183,292.7071111,469.6487537,762.3558648,,,,,,,,
327.00,1231.30,2016.31,1231.30,1329.83,,1231.301196,409.7146354,270.2221781,679.9368136,,,,,,,,
304.00,1232.37,2161.53,1232.37,1396.72,,1232.366072,439.2225286,283.8130038,723.0355324,,,,,,,,
136.00,1240.90,1277.84,1240.90,1952.22,,1240.901634,259.6563398,396.6920012,656.348341,,,,,,,,
48.00,1246.44,947.96,1246.44,1341.96,,1246.442614,192.6254837,272.6858502,465.3113339,,,,,,,,
182.00,1248.47,1409.64,1248.47,2234.00,,1248.466735,286.4391799,453.949196,740.3883759,,,,,,,,
437.00,1256.38,1248.18,1256.38,917.35,,1256.377646,253.6309711,186.4047816,440.0357527,,,,,,,,
114.00,1257.07,1177.41,1257.07,1797.42,,1257.072995,239.2496971,365.2349,604.4845971,,,,,,,,
349.00,1257.77,1862.78,1257.77,1221.97,,1257.767689,378.5177795,248.3033291,626.8211086,,,,,,,,
70.00,1257.81,1014.44,1257.81,1485.79,,1257.814279,206.1335712,301.9127328,508.0463041,,,,,,,,
159.00,1261.70,1331.61,1261.70,2108.05,,1261.704693,270.5831421,428.3567569,698.939899,,,,,,,,
92.00,1261.92,1090.21,1261.92,1639.27,,1261.916548,221.5310716,333.099576,554.6306476,,,,,,,,
303.00,1263.34,2169.49,1263.34,1353.33,,1263.337745,440.8399491,274.9976544,715.8376035,,,,,,,,
415.00,1268.13,1388.24,1268.13,978.59,,1268.12955,282.090186,198.8493665,480.9395525,,,,,,,,
